fasta_id	protein_id	locus_id
CAJOBZ010000001.1	CAF4741651.1	PMACD_LOCUS52
CAJOBZ010000001.1	CAF4741662.1	PMACD_LOCUS53
CAJOBZ010000001.1	CAF4741672.1	PMACD_LOCUS54
CAJOBZ010000001.1	CAF4741686.1	PMACD_LOCUS55
CAJOBZ010000001.1	CAF4741699.1	PMACD_LOCUS56
CAJOBZ010000001.1	CAF4741712.1	PMACD_LOCUS57
CAJOBZ010000001.1	CAF4741727.1	PMACD_LOCUS58
CAJOBZ010000001.1	CAF4741739.1	PMACD_LOCUS59
CAJOBZ010000001.1	CAF4741752.1	PMACD_LOCUS60
CAJOBZ010000001.1	CAF4741775.1	PMACD_LOCUS61
CAJOBZ010000001.1	CAF4741763.1	PMACD_LOCUS61
CAJOBZ010000001.1	CAF4741785.1	PMACD_LOCUS62
CAJOBZ010000001.1	CAF4741796.1	PMACD_LOCUS63
CAJOBZ010000001.1	CAF4741810.1	PMACD_LOCUS64
CAJOBZ010000001.1	CAF4741820.1	PMACD_LOCUS65
CAJOBZ010000001.1	CAF4741831.1	PMACD_LOCUS66
CAJOBZ010000001.1	CAF4741842.1	PMACD_LOCUS67
CAJOBZ010000001.1	CAF4741853.1	PMACD_LOCUS68
CAJOBZ010000001.1	CAF4741865.1	PMACD_LOCUS69
CAJOBZ010000001.1	CAF4741879.1	PMACD_LOCUS70
CAJOBZ010000001.1	CAF4741891.1	PMACD_LOCUS71
CAJOBZ010000001.1	CAF4741902.1	PMACD_LOCUS72
CAJOBZ010000001.1	CAF4741915.1	PMACD_LOCUS73
CAJOBZ010000001.1	CAF4741929.1	PMACD_LOCUS74
CAJOBZ010000001.1	CAF4741939.1	PMACD_LOCUS75
CAJOBZ010000001.1	CAF4741952.1	PMACD_LOCUS76
CAJOBZ010000001.1	CAF4741962.1	PMACD_LOCUS77
CAJOBZ010000001.1	CAF4741973.1	PMACD_LOCUS78
CAJOBZ010000001.1	CAF4741984.1	PMACD_LOCUS78
CAJOBZ010000001.1	CAF4741997.1	PMACD_LOCUS79
CAJOBZ010000001.1	CAF4742009.1	PMACD_LOCUS80
CAJOBZ010000001.1	CAF4742038.1	PMACD_LOCUS81
CAJOBZ010000001.1	CAF4742023.1	PMACD_LOCUS81
CAJOBZ010000001.1	CAF4742047.1	PMACD_LOCUS82
CAJOBZ010000001.1	CAF4742058.1	PMACD_LOCUS83
CAJOBZ010000001.1	CAF4742071.1	PMACD_LOCUS84
CAJOBZ010000001.1	CAF4742081.1	PMACD_LOCUS85
CAJOBZ010000001.1	CAF4742096.1	PMACD_LOCUS86
CAJOBZ010000001.1	CAF4742108.1	PMACD_LOCUS87
CAJOBZ010000001.1	CAF4742121.1	PMACD_LOCUS88
CAJOBZ010000001.1	CAF4742133.1	PMACD_LOCUS89
CAJOBZ010000001.1	CAF4742145.1	PMACD_LOCUS90
CAJOBZ010000001.1	CAF4742154.1	PMACD_LOCUS91
CAJOBZ010000001.1	CAF4742166.1	PMACD_LOCUS92
CAJOBZ010000001.1	CAF4742179.1	PMACD_LOCUS92
CAJOBZ010000001.1	CAF4742191.1	PMACD_LOCUS93
CAJOBZ010000001.1	CAF4742204.1	PMACD_LOCUS94
CAJOBZ010000001.1	CAF4742218.1	PMACD_LOCUS95
CAJOBZ010000001.1	CAF4742230.1	PMACD_LOCUS96
CAJOBZ010000001.1	CAF4742238.1	PMACD_LOCUS97
CAJOBZ010000001.1	CAF4742248.1	PMACD_LOCUS98
CAJOBZ010000001.1	CAF4742261.1	PMACD_LOCUS99
CAJOBZ010000001.1	CAF4742273.1	PMACD_LOCUS100
CAJOBZ010000001.1	CAF4742285.1	PMACD_LOCUS101
CAJOBZ010000001.1	CAF4742298.1	PMACD_LOCUS102
CAJOBZ010000001.1	CAF4742308.1	PMACD_LOCUS103
CAJOBZ010000001.1	CAF4742318.1	PMACD_LOCUS104
CAJOBZ010000001.1	CAF4742336.1	PMACD_LOCUS105
CAJOBZ010000001.1	CAF4742329.1	PMACD_LOCUS105
CAJOBZ010000001.1	CAF4742349.1	PMACD_LOCUS106
CAJOBZ010000001.1	CAF4742363.1	PMACD_LOCUS107
CAJOBZ010000001.1	CAF4742374.1	PMACD_LOCUS108
CAJOBZ010000001.1	CAF4742385.1	PMACD_LOCUS109
CAJOBZ010000001.1	CAF4742396.1	PMACD_LOCUS110
CAJOBZ010000001.1	CAF4742406.1	PMACD_LOCUS111
CAJOBZ010000001.1	CAF4742419.1	PMACD_LOCUS112
CAJOBZ010000001.1	CAF4742429.1	PMACD_LOCUS113
CAJOBZ010000001.1	CAF4742439.1	PMACD_LOCUS114
CAJOBZ010000001.1	CAF4742454.1	PMACD_LOCUS115
CAJOBZ010000001.1	CAF4742467.1	PMACD_LOCUS116
CAJOBZ010000001.1	CAF4742482.1	PMACD_LOCUS117
CAJOBZ010000001.1	CAF4742495.1	PMACD_LOCUS118
CAJOBZ010000001.1	CAF4742508.1	PMACD_LOCUS119
CAJOBZ010000001.1	CAF4742522.1	PMACD_LOCUS119
CAJOBZ010000001.1	CAF4742534.1	PMACD_LOCUS120
CAJOBZ010000001.1	CAF4742543.1	PMACD_LOCUS121
CAJOBZ010000001.1	CAF4742555.1	PMACD_LOCUS121
CAJOBZ010000001.1	CAF4742568.1	PMACD_LOCUS122
CAJOBZ010000001.1	CAF4742581.1	PMACD_LOCUS123
CAJOBZ010000001.1	CAF4742592.1	PMACD_LOCUS124
CAJOBZ010000001.1	CAF4742602.1	PMACD_LOCUS124
CAJOBZ010000001.1	CAF4742614.1	PMACD_LOCUS125
CAJOBZ010000001.1	CAF4742627.1	PMACD_LOCUS126
CAJOBZ010000001.1	CAF4742642.1	PMACD_LOCUS126
CAJOBZ010000001.1	CAF4742653.1	PMACD_LOCUS127
CAJOBZ010000001.1	CAF4742666.1	PMACD_LOCUS128
CAJOBZ010000001.1	CAF4742678.1	PMACD_LOCUS128
CAJOBZ010000001.1	CAF4742687.1	PMACD_LOCUS129
CAJOBZ010000001.1	CAF4742702.1	PMACD_LOCUS130
CAJOBZ010000001.1	CAF4742717.1	PMACD_LOCUS131
CAJOBZ010000001.1	CAF4742730.1	PMACD_LOCUS132
CAJOBZ010000001.1	CAF4742743.1	PMACD_LOCUS133
CAJOBZ010000001.1	CAF4742758.1	PMACD_LOCUS133
CAJOBZ010000001.1	CAF4742772.1	PMACD_LOCUS134
CAJOBZ010000001.1	CAF4742787.1	PMACD_LOCUS135
CAJOBZ010000001.1	CAF4742800.1	PMACD_LOCUS136
CAJOBZ010000001.1	CAF4742812.1	PMACD_LOCUS137
CAJOBZ010000001.1	CAF4742824.1	PMACD_LOCUS138
CAJOBZ010000001.1	CAF4742839.1	PMACD_LOCUS139
CAJOBZ010000001.1	CAF4742854.1	PMACD_LOCUS140
CAJOBZ010000001.1	CAF4742869.1	PMACD_LOCUS141
CAJOBZ010000001.1	CAF4742885.1	PMACD_LOCUS142
CAJOBZ010000001.1	CAF4742898.1	PMACD_LOCUS143
CAJOBZ010000001.1	CAF4742913.1	PMACD_LOCUS144
CAJOBZ010000001.1	CAF4742926.1	PMACD_LOCUS145
CAJOBZ010000001.1	CAF4742943.1	PMACD_LOCUS146
CAJOBZ010000001.1	CAF4742956.1	PMACD_LOCUS147
CAJOBZ010000001.1	CAF4742972.1	PMACD_LOCUS148
CAJOBZ010000001.1	CAF4742990.1	PMACD_LOCUS149
CAJOBZ010000001.1	CAF4743004.1	PMACD_LOCUS150
CAJOBZ010000001.1	CAF4743016.1	PMACD_LOCUS151
CAJOBZ010000001.1	CAF4743028.1	PMACD_LOCUS152
CAJOBZ010000001.1	CAF4743042.1	PMACD_LOCUS153
CAJOBZ010000001.1	CAF4743054.1	PMACD_LOCUS154
CAJOBZ010000001.1	CAF4743059.1	PMACD_LOCUS154
CAJOBZ010000001.1	CAF4743073.1	PMACD_LOCUS155
CAJOBZ010000001.1	CAF4743088.1	PMACD_LOCUS156
CAJOBZ010000001.1	CAF4743100.1	PMACD_LOCUS157
CAJOBZ010000001.1	CAF4743119.1	PMACD_LOCUS158
CAJOBZ010000001.1	CAF4743131.1	PMACD_LOCUS159
CAJOBZ010000001.1	CAF4743144.1	PMACD_LOCUS160
CAJOBZ010000001.1	CAF4743160.1	PMACD_LOCUS161
CAJOBZ010000001.1	CAF4743174.1	PMACD_LOCUS162
CAJOBZ010000001.1	CAF4743185.1	PMACD_LOCUS163
CAJOBZ010000001.1	CAF4743199.1	PMACD_LOCUS163
CAJOBZ010000001.1	CAF4743211.1	PMACD_LOCUS163
CAJOBZ010000001.1	CAF4743224.1	PMACD_LOCUS164
CAJOBZ010000001.1	CAF4743237.1	PMACD_LOCUS165
CAJOBZ010000001.1	CAF4743249.1	PMACD_LOCUS166
CAJOBZ010000001.1	CAF4743257.1	PMACD_LOCUS167
CAJOBZ010000001.1	CAF4743293.1	PMACD_LOCUS168
CAJOBZ010000001.1	CAF4743270.1	PMACD_LOCUS168
CAJOBZ010000001.1	CAF4743280.1	PMACD_LOCUS168
CAJOBZ010000001.1	CAF4743305.1	PMACD_LOCUS169
CAJOBZ010000001.1	CAF4743321.1	PMACD_LOCUS170
CAJOBZ010000001.1	CAF4743334.1	PMACD_LOCUS171
CAJOBZ010000001.1	CAF4743348.1	PMACD_LOCUS172
CAJOBZ010000001.1	CAF4743362.1	PMACD_LOCUS173
CAJOBZ010000001.1	CAF4743378.1	PMACD_LOCUS174
CAJOBZ010000001.1	CAF4743391.1	PMACD_LOCUS175
CAJOBZ010000001.1	CAF4743402.1	PMACD_LOCUS176
CAJOBZ010000001.1	CAF4743412.1	PMACD_LOCUS177
CAJOBZ010000001.1	CAF4743426.1	PMACD_LOCUS178
CAJOBZ010000001.1	CAF4743442.1	PMACD_LOCUS179
CAJOBZ010000001.1	CAF4743467.1	PMACD_LOCUS180
CAJOBZ010000001.1	CAF4743454.1	PMACD_LOCUS180
CAJOBZ010000001.1	CAF4743483.1	PMACD_LOCUS181
CAJOBZ010000001.1	CAF4743496.1	PMACD_LOCUS182
CAJOBZ010000001.1	CAF4743512.1	PMACD_LOCUS183
CAJOBZ010000001.1	CAF4743525.1	PMACD_LOCUS184
CAJOBZ010000001.1	CAF4743534.1	PMACD_LOCUS184
CAJOBZ010000001.1	CAF4743541.1	PMACD_LOCUS184
CAJOBZ010000001.1	CAF4743548.1	PMACD_LOCUS185
CAJOBZ010000001.1	CAF4743558.1	PMACD_LOCUS186
CAJOBZ010000001.1	CAF4743569.1	PMACD_LOCUS187
CAJOBZ010000001.1	CAF4743579.1	PMACD_LOCUS188
CAJOBZ010000001.1	CAF4743590.1	PMACD_LOCUS189
CAJOBZ010000001.1	CAF4743601.1	PMACD_LOCUS190
CAJOBZ010000001.1	CAF4743614.1	PMACD_LOCUS191
CAJOBZ010000001.1	CAF4743627.1	PMACD_LOCUS192
CAJOBZ010000001.1	CAF4743641.1	PMACD_LOCUS193
CAJOBZ010000001.1	CAF4743654.1	PMACD_LOCUS194
CAJOBZ010000001.1	CAF4743662.1	PMACD_LOCUS195
CAJOBZ010000001.1	CAF4743675.1	PMACD_LOCUS196
CAJOBZ010000001.1	CAF4743687.1	PMACD_LOCUS197
CAJOBZ010000001.1	CAF4743701.1	PMACD_LOCUS198
CAJOBZ010000001.1	CAF4743714.1	PMACD_LOCUS199
CAJOBZ010000001.1	CAF4743725.1	PMACD_LOCUS200
CAJOBZ010000001.1	CAF4743738.1	PMACD_LOCUS201
CAJOBZ010000001.1	CAF4743748.1	PMACD_LOCUS202
CAJOBZ010000001.1	CAF4743762.1	PMACD_LOCUS203
CAJOBZ010000001.1	CAF4743775.1	PMACD_LOCUS204
CAJOBZ010000001.1	CAF4743785.1	PMACD_LOCUS205
CAJOBZ010000001.1	CAF4743801.1	PMACD_LOCUS206
CAJOBZ010000001.1	CAF4743814.1	PMACD_LOCUS207
CAJOBZ010000001.1	CAF4743828.1	PMACD_LOCUS208
CAJOBZ010000001.1	CAF4743842.1	PMACD_LOCUS209
CAJOBZ010000001.1	CAF4743852.1	PMACD_LOCUS210
CAJOBZ010000001.1	CAF4743863.1	PMACD_LOCUS211
CAJOBZ010000001.1	CAF4743878.1	PMACD_LOCUS212
CAJOBZ010000001.1	CAF4743891.1	PMACD_LOCUS213
CAJOBZ010000001.1	CAF4743903.1	PMACD_LOCUS214
CAJOBZ010000001.1	CAF4743915.1	PMACD_LOCUS215
CAJOBZ010000001.1	CAF4743930.1	PMACD_LOCUS216
CAJOBZ010000001.1	CAF4743943.1	PMACD_LOCUS217
CAJOBZ010000001.1	CAF4743956.1	PMACD_LOCUS217
CAJOBZ010000001.1	CAF4743969.1	PMACD_LOCUS218
CAJOBZ010000001.1	CAF4743987.1	PMACD_LOCUS219
CAJOBZ010000001.1	CAF4744001.1	PMACD_LOCUS220
CAJOBZ010000001.1	CAF4744011.1	PMACD_LOCUS220
CAJOBZ010000001.1	CAF4744028.1	PMACD_LOCUS221
CAJOBZ010000001.1	CAF4744041.1	PMACD_LOCUS222
CAJOBZ010000001.1	CAF4744054.1	PMACD_LOCUS223
CAJOBZ010000001.1	CAF4744068.1	PMACD_LOCUS223
CAJOBZ010000001.1	CAF4744083.1	PMACD_LOCUS224
CAJOBZ010000001.1	CAF4744096.1	PMACD_LOCUS225
CAJOBZ010000001.1	CAF4744109.1	PMACD_LOCUS226
CAJOBZ010000001.1	CAF4744139.1	PMACD_LOCUS227
CAJOBZ010000001.1	CAF4744126.1	PMACD_LOCUS227
CAJOBZ010000001.1	CAF4744154.1	PMACD_LOCUS228
CAJOBZ010000001.1	CAF4744171.1	PMACD_LOCUS229
CAJOBZ010000001.1	CAF4744183.1	PMACD_LOCUS230
CAJOBZ010000001.1	CAF4744203.1	PMACD_LOCUS231
CAJOBZ010000001.1	CAF4744219.1	PMACD_LOCUS232
CAJOBZ010000001.1	CAF4744237.1	PMACD_LOCUS233
CAJOBZ010000001.1	CAF4744252.1	PMACD_LOCUS234
CAJOBZ010000001.1	CAF4744268.1	PMACD_LOCUS234
CAJOBZ010000001.1	CAF4744279.1	PMACD_LOCUS235
CAJOBZ010000001.1	CAF4744293.1	PMACD_LOCUS236
CAJOBZ010000001.1	CAF4744309.1	PMACD_LOCUS236
CAJOBZ010000001.1	CAF4744323.1	PMACD_LOCUS236
CAJOBZ010000001.1	CAF4744337.1	PMACD_LOCUS237
CAJOBZ010000001.1	CAF4744349.1	PMACD_LOCUS238
CAJOBZ010000001.1	CAF4744364.1	PMACD_LOCUS239
CAJOBZ010000001.1	CAF4744376.1	PMACD_LOCUS240
CAJOBZ010000001.1	CAF4744390.1	PMACD_LOCUS241
CAJOBZ010000001.1	CAF4744403.1	PMACD_LOCUS242
CAJOBZ010000001.1	CAF4744415.1	PMACD_LOCUS243
CAJOBZ010000001.1	CAF4744432.1	PMACD_LOCUS244
CAJOBZ010000001.1	CAF4744444.1	PMACD_LOCUS245
CAJOBZ010000001.1	CAF4744457.1	PMACD_LOCUS246
CAJOBZ010000001.1	CAF4744469.1	PMACD_LOCUS247
CAJOBZ010000001.1	CAF4744481.1	PMACD_LOCUS248
CAJOBZ010000001.1	CAF4744494.1	PMACD_LOCUS249
CAJOBZ010000001.1	CAF4744509.1	PMACD_LOCUS250
CAJOBZ010000001.1	CAF4744520.1	PMACD_LOCUS251
CAJOBZ010000001.1	CAF4744529.1	PMACD_LOCUS252
CAJOBZ010000001.1	CAF4744540.1	PMACD_LOCUS253
CAJOBZ010000001.1	CAF4744554.1	PMACD_LOCUS254
CAJOBZ010000001.1	CAF4744560.1	PMACD_LOCUS255
CAJOBZ010000001.1	CAF4744573.1	PMACD_LOCUS256
CAJOBZ010000001.1	CAF4744584.1	PMACD_LOCUS257
CAJOBZ010000001.1	CAF4744598.1	PMACD_LOCUS258
CAJOBZ010000001.1	CAF4744613.1	PMACD_LOCUS259
CAJOBZ010000001.1	CAF4744622.1	PMACD_LOCUS260
CAJOBZ010000001.1	CAF4744634.1	PMACD_LOCUS261
CAJOBZ010000001.1	CAF4744647.1	PMACD_LOCUS262
CAJOBZ010000001.1	CAF4744676.1	PMACD_LOCUS263
CAJOBZ010000001.1	CAF4744662.1	PMACD_LOCUS263
CAJOBZ010000001.1	CAF4744690.1	PMACD_LOCUS264
CAJOBZ010000001.1	CAF4744706.1	PMACD_LOCUS264
CAJOBZ010000001.1	CAF4744721.1	PMACD_LOCUS265
CAJOBZ010000001.1	CAF4744735.1	PMACD_LOCUS266
CAJOBZ010000001.1	CAF4744747.1	PMACD_LOCUS267
CAJOBZ010000001.1	CAF4744758.1	PMACD_LOCUS268
CAJOBZ010000001.1	CAF4744771.1	PMACD_LOCUS269
CAJOBZ010000001.1	CAF4744785.1	PMACD_LOCUS270
CAJOBZ010000001.1	CAF4744797.1	PMACD_LOCUS271
CAJOBZ010000001.1	CAF4744813.1	PMACD_LOCUS272
CAJOBZ010000001.1	CAF4744828.1	PMACD_LOCUS272
CAJOBZ010000001.1	CAF4744842.1	PMACD_LOCUS273
CAJOBZ010000001.1	CAF4744853.1	PMACD_LOCUS274
CAJOBZ010000001.1	CAF4744864.1	PMACD_LOCUS275
CAJOBZ010000001.1	CAF4744879.1	PMACD_LOCUS276
CAJOBZ010000001.1	CAF4744892.1	PMACD_LOCUS277
CAJOBZ010000001.1	CAF4744905.1	PMACD_LOCUS278
CAJOBZ010000001.1	CAF4744917.1	PMACD_LOCUS278
CAJOBZ010000001.1	CAF4744934.1	PMACD_LOCUS278
CAJOBZ010000001.1	CAF4744947.1	PMACD_LOCUS279
CAJOBZ010000001.1	CAF4744960.1	PMACD_LOCUS280
CAJOBZ010000001.1	CAF4744975.1	PMACD_LOCUS281
CAJOBZ010000001.1	CAF4744987.1	PMACD_LOCUS282
CAJOBZ010000001.1	CAF4745004.1	PMACD_LOCUS283
CAJOBZ010000001.1	CAF4745017.1	PMACD_LOCUS284
CAJOBZ010000001.1	CAF4745029.1	PMACD_LOCUS285
CAJOBZ010000001.1	CAF4745042.1	PMACD_LOCUS286
CAJOBZ010000001.1	CAF4745068.1	PMACD_LOCUS287
CAJOBZ010000001.1	CAF4745054.1	PMACD_LOCUS287
CAJOBZ010000001.1	CAF4745078.1	PMACD_LOCUS288
CAJOBZ010000001.1	CAF4745088.1	PMACD_LOCUS289
CAJOBZ010000001.1	CAF4745100.1	PMACD_LOCUS290
CAJOBZ010000001.1	CAF4745112.1	PMACD_LOCUS291
CAJOBZ010000001.1	CAF4745129.1	PMACD_LOCUS292
CAJOBZ010000001.1	CAF4745142.1	PMACD_LOCUS293
CAJOBZ010000001.1	CAF4745155.1	PMACD_LOCUS294
CAJOBZ010000001.1	CAF4745166.1	PMACD_LOCUS295
CAJOBZ010000001.1	CAF4745178.1	PMACD_LOCUS296
CAJOBZ010000001.1	CAF4745189.1	PMACD_LOCUS297
CAJOBZ010000001.1	CAF4745202.1	PMACD_LOCUS298
CAJOBZ010000001.1	CAF4745214.1	PMACD_LOCUS299
CAJOBZ010000001.1	CAF4745229.1	PMACD_LOCUS300
CAJOBZ010000001.1	CAF4745243.1	PMACD_LOCUS301
CAJOBZ010000001.1	CAF4745258.1	PMACD_LOCUS302
CAJOBZ010000001.1	CAF4745269.1	PMACD_LOCUS303
CAJOBZ010000001.1	CAF4745279.1	PMACD_LOCUS304
CAJOBZ010000001.1	CAF4745293.1	PMACD_LOCUS305
CAJOBZ010000001.1	CAF4745306.1	PMACD_LOCUS306
CAJOBZ010000001.1	CAF4745322.1	PMACD_LOCUS307
CAJOBZ010000001.1	CAF4745336.1	PMACD_LOCUS308
CAJOBZ010000001.1	CAF4745349.1	PMACD_LOCUS309
CAJOBZ010000001.1	CAF4745362.1	PMACD_LOCUS310
CAJOBZ010000001.1	CAF4745374.1	PMACD_LOCUS310
CAJOBZ010000001.1	CAF4745389.1	PMACD_LOCUS311
CAJOBZ010000001.1	CAF4745402.1	PMACD_LOCUS312
CAJOBZ010000001.1	CAF4745421.1	PMACD_LOCUS313
CAJOBZ010000001.1	CAF4745433.1	PMACD_LOCUS314
CAJOBZ010000001.1	CAF4745444.1	PMACD_LOCUS315
CAJOBZ010000001.1	CAF4745457.1	PMACD_LOCUS316
CAJOBZ010000001.1	CAF4745470.1	PMACD_LOCUS317
CAJOBZ010000001.1	CAF4745483.1	PMACD_LOCUS318
CAJOBZ010000001.1	CAF4745494.1	PMACD_LOCUS318
CAJOBZ010000001.1	CAF4745503.1	PMACD_LOCUS319
CAJOBZ010000001.1	CAF4745516.1	PMACD_LOCUS320
CAJOBZ010000001.1	CAF4745529.1	PMACD_LOCUS321
CAJOBZ010000001.1	CAF4745543.1	PMACD_LOCUS322
CAJOBZ010000001.1	CAF4745557.1	PMACD_LOCUS323
CAJOBZ010000001.1	CAF4745566.1	PMACD_LOCUS324
CAJOBZ010000001.1	CAF4745579.1	PMACD_LOCUS325
CAJOBZ010000001.1	CAF4745594.1	PMACD_LOCUS326
CAJOBZ010000001.1	CAF4745607.1	PMACD_LOCUS327
CAJOBZ010000001.1	CAF4745619.1	PMACD_LOCUS328
CAJOBZ010000001.1	CAF4745633.1	PMACD_LOCUS329
CAJOBZ010000001.1	CAF4745644.1	PMACD_LOCUS330
CAJOBZ010000001.1	CAF4745657.1	PMACD_LOCUS331
CAJOBZ010000001.1	CAF4745671.1	PMACD_LOCUS332
CAJOBZ010000001.1	CAF4745688.1	PMACD_LOCUS333
CAJOBZ010000001.1	CAF4745702.1	PMACD_LOCUS334
CAJOBZ010000001.1	CAF4745711.1	PMACD_LOCUS335
CAJOBZ010000001.1	CAF4745725.1	PMACD_LOCUS336
CAJOBZ010000001.1	CAF4745738.1	PMACD_LOCUS337
CAJOBZ010000001.1	CAF4745752.1	PMACD_LOCUS337
CAJOBZ010000001.1	CAF4745765.1	PMACD_LOCUS338
CAJOBZ010000001.1	CAF4745774.1	PMACD_LOCUS339
CAJOBZ010000001.1	CAF4745783.1	PMACD_LOCUS340
CAJOBZ010000001.1	CAF4745799.1	PMACD_LOCUS341
CAJOBZ010000001.1	CAF4745810.1	PMACD_LOCUS342
CAJOBZ010000001.1	CAF4745820.1	PMACD_LOCUS343
CAJOBZ010000001.1	CAF4745835.1	PMACD_LOCUS344
CAJOBZ010000001.1	CAF4745841.1	PMACD_LOCUS345
CAJOBZ010000001.1	CAF4745857.1	PMACD_LOCUS346
CAJOBZ010000001.1	CAF4745871.1	PMACD_LOCUS347
CAJOBZ010000001.1	CAF4745884.1	PMACD_LOCUS348
CAJOBZ010000001.1	CAF4745894.1	PMACD_LOCUS349
CAJOBZ010000001.1	CAF4745906.1	PMACD_LOCUS350
CAJOBZ010000001.1	CAF4745916.1	PMACD_LOCUS351
CAJOBZ010000001.1	CAF4745925.1	PMACD_LOCUS352
CAJOBZ010000001.1	CAF4745936.1	PMACD_LOCUS352
CAJOBZ010000001.1	CAF4745948.1	PMACD_LOCUS353
CAJOBZ010000001.1	CAF4745963.1	PMACD_LOCUS354
CAJOBZ010000001.1	CAF4745976.1	PMACD_LOCUS355
CAJOBZ010000001.1	CAF4745985.1	PMACD_LOCUS356
CAJOBZ010000001.1	CAF4745997.1	PMACD_LOCUS357
CAJOBZ010000001.1	CAF4746012.1	PMACD_LOCUS358
CAJOBZ010000001.1	CAF4746026.1	PMACD_LOCUS359
CAJOBZ010000001.1	CAF4746059.1	PMACD_LOCUS359
CAJOBZ010000001.1	CAF4746044.1	PMACD_LOCUS359
CAJOBZ010000001.1	CAF4746073.1	PMACD_LOCUS360
CAJOBZ010000001.1	CAF4746087.1	PMACD_LOCUS361
